id,day,month,dom,year,avg_pace,distance,Duration,est_calories
665,Sunday,December,29,2013,7`14``,5.08,36:48,644
666,Monday,December,30,2013,7`31``,5.09,38:19,644
667,Tuesday,December,31,2013,7`29``,5.07,37:57,641
668,Saturday,January,4,2014,7`25``,5.07,37:38,641
669,Sunday,January,5,2014,7`05``,5.08,36:04,645
670,Monday,January,6,2014,7`26``,5.07,37:40,642
671,Tuesday,January,7,2014,7`26``,5.1,37:59,646
672,Wednesday,January,8,2014,7`19``,5.08,37:12,643
673,Saturday,January,11,2014,7`22``,5.07,37:20,642
674,Sunday,January,12,2014,7`15``,5.06,36:44,641
675,Monday,January,13,2014,7`20``,5.09,37:25,645
676,Tuesday,January,14,2014,7`29``,5.09,38:09,644
677,Wednesday,January,15,2014,7`20``,5.12,37:33,647
678,Saturday,January,18,2014,7`32``,3.27,24:41,414
679,Saturday,January,18,2014,7`27``,2.39,17:49,302
680,Sunday,January,19,2014,7`18``,5.2,37:58,658
681,Tuesday,January,21,2014,7`22``,5.25,38:44,664
682,Wednesday,January,22,2014,7`19``,5.41,39:34,684
683,Saturday,January,25,2014,7`24``,5.11,37:51,646
684,Sunday,January,26,2014,7`22``,5.57,41:03,705
685,Monday,January,27,2014,7`08``,5.07,36:14,643
686,Tuesday,January,28,2014,7`18``,5.1,37:15,645
687,Wednesday,January,29,2014,7`13``,5.36,38:43,679
688,Saturday,February,1,2014,7`19``,5.25,38:28,665
689,Sunday,February,2,2014,7`19``,5.08,37:12,644
690,Monday,February,3,2014,7`19``,5.38,39:27,681
691,Tuesday,February,4,2014,7`19``,5.2,38:02,658
692,Wednesday,February,5,2014,7`30``,5.17,38:49,653
693,Saturday,February,8,2014,7`17``,5.09,37:04,644
694,Sunday,February,9,2014,7`10``,5.5,39:24,698
695,Monday,February,10,2014,7`22``,5.27,38:52,667
696,Tuesday,February,11,2014,7`17``,5.08,37:02,643
697,Wednesday,February,12,2014,7`20``,5.3,38:53,670
698,Saturday,February,15,2014,7`16``,5.1,37:04,646
699,Sunday,February,16,2014,7`11``,5.39,38:49,684
700,Tuesday,February,18,2014,7`18``,5.31,38:47,672
701,Wednesday,February,19,2014,7`20``,5.62,41:14,712
702,Saturday,February,22,2014,7`14``,5.71,41:24,724
703,Sunday,February,23,2014,7`19``,5.63,41:13,712
704,Monday,February,24,2014,7`23``,5.65,41:45,715
705,Tuesday,February,25,2014,7`19``,5.69,41:40,721
706,Wednesday,February,26,2014,7`17``,5.66,41:12,716
707,Saturday,March,1,2014,7`12``,6.26,45:10,793
708,Sunday,March,2,2014,7`14``,6.31,45:40,799
709,Monday,March,3,2014,7`26``,5.34,39:42,676
710,Tuesday,March,4,2014,7`20``,5.63,41:15,712
711,Wednesday,March,5,2014,7`23``,5.66,41:50,715
712,Sunday,March,9,2014,7`13``,5.61,40:33,711
713,Monday,March,10,2014,7`25``,5.63,41:47,710
714,Tuesday,March,11,2014,7`09``,6.02,43:05,763
715,Wednesday,March,12,2014,7`21``,5.06,37:16,640
716,Saturday,March,15,2014,6`55``,6.16,42:39,784
717,Sunday,March,16,2014,7`02``,6.06,42:37,770
718,Monday,March,17,2014,7`03``,5.09,35:57,647
719,Tuesday,March,18,2014,6`36``,5.09,33:38,651
720,Wednesday,March,19,2014,7`01``,5.12,35:58,651
721,Saturday,March,22,2014,6`54``,6.07,41:54,774
722,Sunday,March,23,2014,6`38``,6.06,40:12,775
723,Monday,March,24,2014,6`56``,7.03,48:42,895
724,Tuesday,March,25,2014,6`46``,6.08,41:11,776
725,Wednesday,March,26,2014,7`11``,6.14,44:07,778
726,Monday,March,31,2014,7`32``,5.17,38:56,653
727,Saturday,April,5,2014,7`18``,6.28,45:55,797
728,Sunday,April,6,2014,7`04``,6.33,44:49,805
729,Wednesday,April,9,2014,7`13``,6.44,46:31,817
730,Friday,April,11,2014,7`01``,7.11,49:54,902
731,Sunday,April,13,2014,7`17``,7.11,44:29,736
732,Monday,April,14,2014,7`13``,6.19,44:41,746
733,Thursday,April,17,2014,7`11``,6.24,44:50,752
734,Sunday,April,20,2014,6`56``,6.27,43:31,754
735,Saturday,April,26,2014,7`03``,7.04,49:39,848
736,Tuesday,April,29,2014,6`49``,7.06,48:12,849
737,Thursday,May,1,2014,6`57``,6.35,44:12,765
738,Sunday,May,4,2014,6`57``,6.49,45:06,780
739,Wednesday,May,7,2014,7`00``,6.36,44:35,766
740,Friday,May,9,2014,7`08``,6.39,45:37,769
741,Sunday,May,11,2014,6`58``,6.42,45:37,773
742,Wednesday,May,14,2014,6`50``,7.08,48:27,852
743,Tuesday,May,20,2014,6`48``,6.01,40:52,722
744,Friday,May,23,2014,6`53``,7.29,50:11,877
745,Monday,May,26,2014,6`59``,5.14,35:53,619
746,Wednesday,May,28,2014,6`40``,7.09,47:22,852
747,Friday,May,30,2014,6`45``,6.03,40:41,724
748,Sunday,June,1,2014,6`58``,6.04,42:07,727
749,Tuesday,June,3,2014,7`06``,6.08,43:15,733
750,Thursday,June,5,2014,6`49``,7,47:44,842
751,Saturday,June,7,2014,6`57``,6.22,43:19,749
752,Monday,June,9,2014,6`50``,7.03,48:06,845
753,Friday,June,13,2014,6`45``,7.17,48:30,862
754,Saturday,June,14,2014,7`10``,6.26,44:56,755
755,Monday,June,16,2014,6`55``,6.12,42:21,736
756,Wednesday,June,18,2014,6`48``,6.07,41:20,729
757,Friday,June,20,2014,7`06``,6.1,43:18,734
758,Monday,June,23,2014,6`55``,6.17,42:41,742
759,Wednesday,June,25,2014,6`46``,5.02,34:00,603
760,Friday,June,27,2014,7`03``,5.76,40:39,694
761,Sunday,June,29,2014,6`58``,6.04,42:06,727
762,Wednesday,July,2,2014,7`01``,6.11,42:52,735
763,Friday,July,4,2014,6`53``,5.19,35:48,625
764,Monday,July,7,2014,7`10``,6.02,43:10,726
765,Wednesday,July,9,2014,6`54``,6.03,41:35,725
766,Friday,July,11,2014,7`06``,6.08,43:14,732
767,Tuesday,July,15,2014,6`58``,6.02,42:01,725
768,Thursday,July,17,2014,7`00``,6.01,42:08,723
769,Monday,July,21,2014,7`03``,6.02,42:32,725
770,Wednesday,July,23,2014,6`58``,6.03,42:01,725
771,Friday,July,25,2014,7`15``,6.07,44:05,732
772,Monday,July,28,2014,7`13``,6.07,43:49,732
773,Wednesday,July,30,2014,6`53``,6.05,41:36,727
774,Friday,August,1,2014,7`01``,6.21,43:32,747
775,Sunday,August,3,2014,7`06``,6.22,43:23,736
776,Tuesday,August,5,2014,7`03``,6.03,42:33,726
777,Friday,August,8,2014,7`04``,5.24,37:04,726
778,Sunday,August,10,2014,7`00``,6.2,43:25,746
779,Wednesday,August,13,2014,7`02``,6.12,43:06,737
780,Friday,August,15,2014,6`07``,6.53,41:46,729
781,Monday,August,18,2014,7`06``,6.08,43:13,732
782,Thursday,August,21,2014,6`58``,6.14,42:47,739
783,Saturday,August,23,2014,7`09``,5.1,36:31,614
784,Thursday,August,28,2014,6`56``,6.24,43:16,751
785,Saturday,August,30,2014,7`02``,5.94,41:49,715
786,Thursday,September,4,2014,6`56``,7.04,48:54,847
787,Saturday,September,6,2014,7`13``,6.08,43:56,733
788,Tuesday,September,9,2014,7`08``,7.03,50:07,847
789,Friday,September,12,2014,7`15``,6.14,44:35,740
790,Tuesday,September,16,2014,7`01``,6.15,43:08,740
791,Saturday,April,18,2015,7`22``,3.82,28:09,461
792,Wednesday,April,29,2015,7`19``,4.75,34:50,573
793,Saturday,February,20,2016,8`25``,3.33,28:07,405
794,Wednesday,February,22,2017,8`24``,3.07,25:50,448
795,Thursday,March,9,2017,8`04``,3.22,26:01,473
796,Tuesday,March,21,2017,8`10``,3.21,26:14,468
797,Wednesday,March,22,2017,8`02``,3.1,25:00,455
798,Thursday,March,23,2017,8`01``,3.08,24:44,453
799,Friday,March,24,2017,7`51``,3.02,23:44,444
800,Monday,March,27,2017,7`52``,3.32,26:08,487
801,Tuesday,March,28,2017,8`09``,3.1,25:19,454
802,Wednesday,March,29,2017,8`00``,3.11,24:58,457
803,Friday,March,31,2017,7`55``,3.09,24:31,454
804,Sunday,April,2,2017,7`39``,3.23,24:47,477
805,Monday,April,3,2017,7`50``,3.34,26:10,489
806,Saturday,April,8,2017,7`45``,3.4,26:23,501
807,Sunday,April,9,2017,7`56``,3.25,25:49,477
808,Monday,April,10,2017,7`48``,3.11,24:16,458
809,Friday,April,14,2017,7`59``,3.32,26:31,488
810,Saturday,April,15,2017,7`56``,3.17,25:13,466
811,Sunday,April,16,2017,8`05``,3.24,26:16,476
812,Monday,April,17,2017,8`07``,3.15,25:35,461
813,Tuesday,April,18,2017,8`11``,3.15,25:49,461
814,Wednesday,April,19,2017,7`56``,3.31,26:16,485
815,Thursday,April,20,2017,7`58``,3.18,25:24,468
816,Friday,April,21,2017,7`42``,3.13,24:09,462
817,Saturday,April,22,2017,7`46``,3.27,25:28,481
818,Sunday,April,23,2017,7`39``,3.18,24:23,469
819,Monday,April,24,2017,7`46``,3.14,24:24,462
820,Tuesday,April,25,2017,7`44``,3.22,24:53,474
821,Wednesday,April,26,2017,7`58``,3.11,24:49,458
822,Thursday,April,27,2017,7`54``,3.17,25:02,466
823,Friday,April,28,2017,7`47``,3.2,24:58,472
824,Saturday,April,29,2017,7`52``,3.23,25:27,475
825,Sunday,April,30,2017,7`36``,3.21,24:25,473
826,Monday,May,1,2017,7`44``,3.06,23:41,451
827,Tuesday,May,2,2017,7`37``,3.15,24:04,465
828,Wednesday,May,3,2017,7`22``,3.18,23:30,471
829,Thursday,May,4,2017,7`30``,3.27,24:33,484
830,Friday,May,5,2017,7`34``,3.27,24:43,482
831,Saturday,May,6,2017,7`35``,3.3,25:03,486
832,Sunday,May,7,2017,7`30``,3.26,24:31,481
833,Monday,May,8,2017,7`32``,3.21,24:13,474
834,Tuesday,May,9,2017,7`35``,3.17,24:07,468
835,Wednesday,May,10,2017,7`18``,3.35,24:31,495
836,Thursday,May,11,2017,7`16``,3.23,23:30,478
837,Friday,May,12,2017,7`13``,3.17,22:52,469
838,Saturday,May,13,2017,7`18``,3.12,22:50,462
839,Sunday,May,14,2017,7`27``,3.28,24:27,484
840,Monday,May,15,2017,7`14``,3.16,22:55,469
841,Wednesday,May,17,2017,7`27``,3.2,23:52,472
842,Thursday,May,18,2017,7`31``,3.1,23:17,458
843,Friday,May,19,2017,7`19``,3.06,22:22,453
844,Saturday,May,20,2017,7`14``,3.24,23:25,479
845,Sunday,May,21,2017,7`42``,3.25,25:02,478
846,Monday,May,22,2017,7`24``,3.19,23:38,472
847,Tuesday,May,23,2017,7`25``,3.37,24:18,484
848,Wednesday,May,24,2017,7`09``,3.23,23:09,480
849,Thursday,May,25,2017,7`09``,3.16,22:41,469
850,Friday,May,26,2017,7`14``,3.16,22:56,469
851,Saturday,May,27,2017,7`19``,3.19,23:20,471
852,Monday,May,29,2017,7`30``,3.26,24:29,481
853,Tuesday,May,30,2017,7`16``,3.06,22:16,453
854,Wednesday,May,31,2017,7`26``,3.17,23:32,468
855,Friday,June,2,2017,7`13``,3.25,23:30,482
856,Saturday,June,3,2017,7`11``,3.28,23:35,485
857,Sunday,June,4,2017,7`40``,3.18,24:27,468
858,Monday,June,5,2017,7`19``,3.21,23:32,474
859,Tuesday,June,6,2017,7`13``,3.15,22:46,468
860,Wednesday,June,7,2017,7`31``,3.23,24:18,477
861,Thursday,June,8,2017,6`55``,3.09,21:26,460
862,Friday,June,9,2017,7`10``,3.24,23:16,481
863,Saturday,June,10,2017,7`11``,3.16,22:45,468
864,Sunday,June,11,2017,7`25``,3.28,24:20,484
865,Sunday,June,11,2017,6`58``,1.43,09:58,213
866,Monday,June,12,2017,7`30``,3.07,23:06,454
867,Tuesday,June,13,2017,7`29``,3.6,26:58,532
868,Wednesday,June,14,2017,7`30``,4.07,30:34,600
869,Thursday,June,15,2017,7`45``,5.52,42:51,812
870,Friday,June,16,2017,7`10``,3.07,22:01,439
871,Saturday,June,17,2017,7`21``,3.26,24:03,465
872,Sunday,June,18,2017,7`32``,3.36,25:20,478
873,Tuesday,June,20,2017,7`02``,3.22,22:41,462
874,Wednesday,June,21,2017,7`55``,14.08,01:51:32,1984
875,Thursday,June,22,2017,6`52``,3.02,20:42,432
876,Friday,June,23,2017,7`09``,1.77,12:42,250
877,Saturday,June,24,2017,7`37``,10.1,01:16:54,1432
878,Sunday,June,25,2017,7`21``,3.22,23:42,459
879,Monday,June,26,2017,6`48``,3.21,21:51,462
880,Tuesday,June,27,2017,6`58``,3.32,23:12,474
881,Wednesday,June,28,2017,7`49``,10.04,01:18:29,1420
882,Friday,June,30,2017,6`56``,3.15,21:52,450
883,Saturday,July,1,2017,6`30``,2.79,18:10,402
884,Sunday,July,2,2017,7`58``,10.6,01:24:32,1498
885,Tuesday,July,4,2017,6`55``,3.31,22:58,475
886,Wednesday,July,5,2017,7`05``,3.14,22:18,450
887,Thursday,July,6,2017,7`05``,3.07,21:46,440
888,Friday,July,7,2017,7`37``,2.34,17:42,334
889,Tuesday,July,11,2017,6`56``,3.24,22:31,465
890,Wednesday,July,12,2017,7`09``,3.34,23:57,478
891,Friday,July,14,2017,7`28``,6.23,46:29,885
892,Saturday,July,15,2017,7`27``,4.01,29:56,571
893,Sunday,July,16,2017,7`11``,3.32,23:51,474
894,Monday,July,17,2017,6`50``,3.15,21:33,452
895,Tuesday,July,18,2017,7`06``,3.42,24:19,490
896,Wednesday,July,19,2017,7`02``,3.13,22:02,448
897,Thursday,July,20,2017,7`31``,6.23,46:51,886
898,Friday,July,21,2017,7`13``,3.19,23:01,454
899,Saturday,July,22,2017,8`04``,10.02,01:20:53,1413
900,Sunday,July,23,2017,7`43``,6.21,47:57,881
901,Monday,July,24,2017,7`01``,3.16,22:11,452
902,Tuesday,July,25,2017,7`21``,3.17,23:21,451
903,Thursday,July,27,2017,7`04``,3.32,23:29,474
904,Friday,July,28,2017,6`54``,3.19,22:02,458
905,Saturday,July,29,2017,7`39``,10.06,01:16:59,1426
906,Monday,July,31,2017,7`02``,3.13,22:02,448
907,Tuesday,August,1,2017,7`09``,3.13,22:24,448
908,Wednesday,August,2,2017,7`36``,6.36,48:23,904
909,Thursday,August,3,2017,7`10``,3.12,22:25,446
910,Friday,August,4,2017,7`30``,3.19,23:58,454
911,Monday,August,7,2017,7`46``,3.14,24:25,446
912,Tuesday,August,8,2017,7`23``,3.16,23:22,450
913,Thursday,August,10,2017,7`31``,3.12,23:29,444
914,Friday,August,11,2017,7`16``,3.14,22:53,449
915,Saturday,September,2,2017,7`39``,3.21,24:36,456
916,Sunday,September,24,2017,7`43``,3.22,24:51,456
917,Sunday,October,29,2017,8`01``,3.18,25:30,450
918,Thursday,November,2,2017,7`46``,3.08,23:57,437
919,Sunday,November,5,2017,7`37``,3.17,24:10,451
920,Sunday,January,21,2018,8`18``,1.68,14:00,238
921,Thursday,January,25,2018,8`07``,1.51,12:18,214
922,Saturday,January,27,2018,8`03``,1.68,13:35,238
923,Wednesday,January,31,2018,7`56``,0.98,07:47,139
924,Saturday,February,17,2018,8`10``,1.6,13:07,227
925,Tuesday,February,20,2018,8`08``,1.65,13:28,234
926,Sunday,February,25,2018,7`58``,1.68,13:22,238
927,Tuesday,February,27,2018,8`04``,1.48,11:59,209
928,Saturday,March,3,2018,7`54``,1.84,14:32,260
929,Sunday,March,11,2018,7`55``,1.66,13:11,235
930,Friday,March,16,2018,7`54``,1.68,13:17,238
931,Saturday,March,17,2018,7`42``,1.62,12:31,231
932,Monday,March,19,2018,8`00``,1.51,12:09,215
933,Thursday,March,22,2018,7`52``,1.51,11:54,214
934,Sunday,March,25,2018,8`00``,1.93,15:30,274
935,Monday,March,26,2018,7`55``,1.51,11:58,213
936,Saturday,March,31,2018,8`10``,1.97,16:06,278
937,Sunday,April,1,2018,7`53``,1.95,15:26,277
938,Saturday,April,7,2018,8`02``,2.05,16:32,290
939,Sunday,April,8,2018,7`54``,2.07,16:22,293
940,Thursday,April,12,2018,7`53``,1.69,13:20,239
941,Monday,April,23,2018,7`57``,1.69,13:26,239
942,Tuesday,April,24,2018,7`57``,1.79,14:17,255
943,Wednesday,April,25,2018,7`56``,2.01,16:00,286
944,Thursday,April,26,2018,8`01``,3.05,24:32,432
945,Friday,April,27,2018,7`44``,1.7,13:11,242
946,Saturday,April,28,2018,8`06``,3.09,25:03,436
947,Monday,April,30,2018,7`47``,3.1,24:06,439
948,Friday,May,4,2018,8`09``,3.1,25:19,438
949,Saturday,May,5,2018,8`10``,3.52,28:47,497
950,Sunday,May,6,2018,8`15``,4.17,34:26,588
951,Monday,May,7,2018,8`21``,4.12,34:24,580
952,Tuesday,May,8,2018,8`17``,4.15,34:25,584
953,Wednesday,May,9,2018,8`08``,3.62,29:29,511
954,Thursday,May,10,2018,8`02``,3.6,28:55,507
955,Friday,May,11,2018,7`44``,3.58,27:44,508
956,Saturday,May,12,2018,7`45``,3.63,28:11,516
957,Sunday,May,13,2018,7`54``,3.59,28:20,508
958,Monday,May,14,2018,8`07``,4.13,33:30,581
959,Tuesday,May,15,2018,8`13``,4.04,33:14,568
960,Wednesday,May,16,2018,7`49``,4.12,32:10,582
961,Thursday,May,17,2018,7`56``,4.12,32:43,582
962,Friday,May,18,2018,7`51``,4.12,32:24,582
963,Saturday,May,19,2018,8`02``,4.13,33:14,582
964,Sunday,May,20,2018,8`00``,4.13,33:03,583
965,Monday,May,21,2018,8`17``,4.13,34:14,582
966,Tuesday,May,22,2018,8`03``,4.14,33:22,580
967,Wednesday,May,23,2018,7`50``,4.07,31:51,572
968,Thursday,May,24,2018,8`01``,4.04,32:22,571
969,Friday,May,25,2018,7`46``,4.13,32:08,584
970,Saturday,May,26,2018,8`18``,3.02,25:07,425
971,Sunday,May,27,2018,7`50``,4.15,32:31,587
972,Monday,May,28,2018,7`59``,3.62,28:54,512
973,Tuesday,May,29,2018,7`45``,4.17,32:21,589
974,Wednesday,May,30,2018,7`52``,4.13,32:31,582
975,Thursday,May,31,2018,7`39``,4.14,31:42,585
976,Friday,June,1,2018,7`48``,4.14,32:18,583
977,Saturday,June,2,2018,7`44``,4.17,32:16,588
978,Sunday,June,3,2018,7`56``,3.63,28:50,513
979,Monday,June,4,2018,7`46``,4.09,31:45,575
980,Tuesday,June,5,2018,7`35``,3.68,27:55,522
981,Wednesday,June,6,2018,7`36``,3.67,27:55,521
982,Thursday,June,7,2018,7`17``,3.61,26:21,516
983,Friday,June,8,2018,7`31``,3.64,27:22,517
984,Saturday,June,9,2018,7`28``,3.6,26:55,510
985,Sunday,June,10,2018,7`56``,3.63,28:50,512
986,Monday,June,11,2018,7`29``,3.52,26:23,500
987,Tuesday,June,12,2018,7`20``,4.18,30:42,592
988,Wednesday,June,13,2018,7`41``,3.62,27:50,511
989,Thursday,June,14,2018,7`16``,3.64,26:26,517
990,Friday,June,15,2018,7`41``,3.67,28:16,522
991,Sunday,June,17,2018,7`33``,3.66,27:40,520
992,Monday,June,18,2018,7`15``,3.61,26:13,516
993,Tuesday,June,19,2018,7`50``,4.08,31:58,576
994,Wednesday,June,20,2018,7`24``,4.14,30:37,589
995,Thursday,June,21,2018,7`47``,4.09,31:53,580
996,Friday,June,22,2018,7`46``,4.09,31:44,580
997,Sunday,June,24,2018,7`14``,4.11,29:45,586
998,Monday,June,25,2018,7`44``,3.51,27:12,498
999,Tuesday,June,26,2018,7`25``,4.08,30:17,582
1000,Wednesday,June,27,2018,7`24``,3.56,26:21,502
1001,Thursday,June,28,2018,7`21``,3.66,26:56,522
1002,Saturday,June,30,2018,7`33``,4.11,31:05,585
1003,Sunday,July,1,2018,7`24``,4.18,30:56,594
1004,Tuesday,July,3,2018,7`53``,3.5,27:37,496
1005,Wednesday,July,4,2018,7`36``,4.03,30:40,572
1006,Friday,July,6,2018,7`33``,4.07,30:46,579
1007,Saturday,July,7,2018,7`53``,4.04,31:53,572
1008,Sunday,July,8,2018,7`32``,4.11,31:02,584
1009,Tuesday,July,10,2018,7`42``,4.01,30:52,569
1010,Wednesday,July,11,2018,7`32``,4.02,30:20,572
1011,Thursday,July,12,2018,7`39``,4.02,30:47,571
1012,Friday,July,13,2018,7`36``,4.06,30:51,577
1013,Saturday,July,14,2018,7`35``,4.1,31:10,582
1014,Monday,July,16,2018,7`32``,4.06,30:36,577
1015,Wednesday,July,18,2018,7`22``,4.15,30:37,591
1016,Thursday,July,19,2018,8`10``,6.05,49:25,851
1017,Friday,July,20,2018,7`28``,4.09,30:34,581
1018,Sunday,July,22,2018,7`30``,4.08,30:34,580
1019,Tuesday,July,24,2018,7`34``,4.08,30:54,581
1020,Thursday,July,26,2018,7`31``,5.08,38:15,722
1021,Friday,July,27,2018,7`36``,3.5,26:39,498
1022,Monday,July,30,2018,7`34``,4.1,31:06,583
1023,Monday,August,6,2018,7`39``,4.08,31:13,579
1024,Friday,August,10,2018,7`19``,4.16,30:30,593
1025,Sunday,August,12,2018,7`30``,4.09,30:40,581
1026,Tuesday,August,14,2018,7`44``,4.1,31:46,578
1027,Saturday,August,18,2018,7`38``,3.33,25:27,473
1028,Monday,August,27,2018,7`38``,4.11,31:21,583
1029,Wednesday,August,29,2018,7`26``,4.1,30:28,578
1030,Monday,September,3,2018,7`54``,3.94,31:09,557
1031,Saturday,September,8,2018,8`00``,4.6,36:50,651
1032,Friday,September,14,2018,7`59``,4.04,32:16,571
1033,Thursday,September,20,2018,7`45``,4.21,32:41,597
1034,Saturday,September,22,2018,8`00``,4.08,32:38,576
1035,Thursday,September,27,2018,7`46``,4.03,31:21,570
1036,Saturday,September,29,2018,7`58``,3.2,25:32,452
1037,Saturday,October,20,2018,7`54``,4.09,32:19,576
1038,Monday,October,22,2018,7`43``,4.09,31:35,580
1039,Thursday,October,25,2018,7`48``,4.1,31:58,579
1040,Tuesday,October,30,2018,7`46``,4.07,31:38,577
1041,Sunday,November,4,2018,7`57``,4.09,32:30,577
1042,Monday,November,12,2018,7`43``,4.08,31:29,577
1043,Saturday,November,17,2018,7`45``,4.11,31:55,582
1044,Thursday,November,22,2018,8`01``,4.1,32:51,579
1045,Sunday,November,25,2018,7`45``,4.08,31:42,579
1046,Sunday,December,2,2018,7`56``,4.13,32:50,584
1047,Thursday,December,6,2018,8`02``,4.14,33:18,585
1048,Thursday,December,13,2018,7`58``,4.17,33:19,591
1049,Thursday,December,27,2018,8`05``,4.05,32:46,569
1050,Saturday,January,5,2019,8`02``,4.05,32:34,573
1051,Saturday,January,12,2019,8`12``,4.08,33:31,576
1052,Tuesday,March,12,2019,8`36``,1.46,12:37,206
1053,Tuesday,March,19,2019,8`27``,2.02,17:08,285
1054,Friday,March,22,2019,8`09``,2.06,16:51,292
1055,Monday,March,25,2019,8`27``,1.52,12:52,214
1056,Saturday,April,6,2019,8`24``,4.07,34:12,568
1057,Wednesday,April,10,2019,8`21``,4.03,33:43,565
1058,Friday,April,12,2019,8`23``,4.13,34:42,580
1059,Monday,April,15,2019,8`26``,4.09,34:31,576
1060,Tuesday,April,16,2019,8`20``,4.06,33:51,570
1061,Thursday,April,18,2019,8`19``,4.08,33:57,571
1062,Saturday,April,20,2019,8`18``,4.1,34:04,575
1063,Sunday,April,21,2019,8`12``,4.09,33:37,575
1064,Tuesday,April,23,2019,8`26``,4.04,34:03,568
1065,Friday,April,26,2019,8`18``,4.01,33:19,565
1066,Sunday,April,28,2019,8`15``,4.11,33:57,579
1067,Tuesday,April,30,2019,8`05``,4.04,32:37,570
1068,Wednesday,May,1,2019,8`16``,4.08,33:44,573
1069,Monday,May,6,2019,8`07``,4.04,32:48,566
1070,Wednesday,May,8,2019,8`09``,4.1,33:29,578
1071,Saturday,May,11,2019,8`02``,3.19,25:38,433
1072,Monday,May,13,2019,7`57``,4.15,33:03,587
1073,Tuesday,May,14,2019,8`06``,4.12,33:24,581
1074,Thursday,May,16,2019,8`02``,4.17,33:33,587
1075,Saturday,May,18,2019,7`54``,4.2,33:12,591
1076,Wednesday,May,22,2019,8`05``,3.98,32:10,560
1077,Thursday,May,23,2019,7`59``,4.15,33:11,586
1078,Saturday,May,25,2019,8`03``,4.19,33:45,591
1079,Sunday,May,26,2019,7`44``,4.1,31:43,579
1080,Friday,May,31,2019,7`56``,4.27,33:55,603
1081,Sunday,June,2,2019,7`48``,4.14,32:20,584
1082,Tuesday,June,4,2019,7`58``,4.2,33:26,594
1083,Wednesday,June,5,2019,7`51``,4.2,33:00,591
1084,Friday,June,7,2019,7`56``,4.56,36:15,645
1085,Saturday,June,8,2019,7`53``,4.21,33:14,595
1086,Tuesday,June,11,2019,7`51``,4.2,32:58,569
1087,Wednesday,June,12,2019,7`58``,4.45,35:26,628
1088,Thursday,June,13,2019,8`07``,4.47,36:19,632
1089,Saturday,June,15,2019,8`02``,4.09,32:54,578
1090,Monday,June,17,2019,7`50``,4.2,32:54,594
1091,Wednesday,June,19,2019,7`48``,4.2,32:46,593
1092,Thursday,June,20,2019,7`58``,3.36,26:49,474
1093,Friday,June,21,2019,7`47``,4.21,32:47,594
1094,Monday,June,24,2019,7`46``,4.13,32:09,586
1095,Tuesday,June,25,2019,7`48``,4.48,34:58,634
1096,Thursday,June,27,2019,7`51``,4.18,32:50,591
1097,Friday,June,28,2019,7`56``,4.51,35:48,638
1098,Saturday,June,29,2019,7`48``,4.23,32:59,598
1099,Monday,July,1,2019,7`59``,4.63,37:02,651
1100,Tuesday,July,2,2019,8`12``,4.15,34:00,648
1101,Thursday,July,4,2019,7`54``,4.18,33:00,654
1102,Saturday,July,6,2019,7`55``,4.22,33:27,661
1103,Monday,July,8,2019,7`54``,4.52,35:45,709
1104,Tuesday,July,9,2019,8`00``,4.72,37:48,739
1105,Wednesday,July,10,2019,8`05``,4.52,36:36,708
1106,Friday,July,12,2019,7`58``,4.5,35:54,706
1107,Sunday,July,14,2019,7`48``,4.2,32:47,657
1108,Monday,July,15,2019,7`49``,4.52,35:21,710
1109,Wednesday,July,17,2019,7`54``,4.43,35:02,694
1110,Thursday,July,18,2019,7`50``,4.13,32:22,646
1111,Saturday,July,20,2019,7`48``,4.2,32:48,659
1112,Tuesday,July,23,2019,7`44``,4.53,35:03,710
1113,Wednesday,July,24,2019,7`56``,4.6,35:44,722
1114,Thursday,July,25,2019,7`57``,4.52,35:57,709
1115,Friday,July,26,2019,7`52``,4.43,34:50,694
1116,Monday,July,29,2019,7`47``,4.23,32:56,663
1117,Tuesday,July,30,2019,7`41``,4.22,32:27,663
1118,Thursday,August,1,2019,7`33``,4,30:16,626
1119,Saturday,August,3,2019,7`37``,4.25,32:24,666
1120,Monday,August,5,2019,7`44``,4.19,32:24,655
1121,Tuesday,August,6,2019,7`47``,4.21,32:48,660
1122,Wednesday,August,7,2019,7`44``,4.3,33:19,675
1123,Thursday,August,8,2019,7`27``,4.02,29:59,633
1124,Friday,August,9,2019,7`39``,4.03,30:52,634
1125,Saturday,August,10,2019,7`40``,4.23,32:27,665
1126,Monday,August,12,2019,7`46``,3.14,24:24,493
1127,Tuesday,August,13,2019,7`47``,4.21,32:47,658
1128,Wednesday,August,14,2019,7`45``,4.38,35:56,687
1129,Friday,August,16,2019,7`36``,4.55,34:36,715
1130,Saturday,August,17,2019,7`52``,4.27,33:38,669
1131,Thursday,August,22,2019,7`37``,4.08,31:07,642
1132,Friday,August,23,2019,7`44``,4.3,33:14,674
1133,Saturday,August,24,2019,7`43``,4.26,32:14,670
1134,Monday,August,26,2019,7`49``,4.53,35:27,710
1135,Monday,September,2,2019,7`51``,4.07,32:02,636
1136,Saturday,September,7,2019,7`35``,3.96,30:03,618
1137,Monday,September,9,2019,7`54``,4,31:35,626
1138,Wednesday,September,11,2019,7`40``,3.94,30:14,615
1139,Thursday,September,12,2019,7`44``,4.09,31:38,638
1140,Saturday,February,1,2020,8`37``,1.54,13:17,240
